ID,Üniversite,Bölüm,En Küçük Puan
5073,BALIKESIR UNIVERSITESI,Turizm Isletmeciligi,263.34719
5074,IZMIR KATIP CELEBI UNIVERSITESI,Su Urunleri Muhendisligi,263.33524
5075,BURDUR MEHMET AKIF ERSOY UNIVERSITESI,Tarih,263.27686
5076,AFYONKARAHISAR SAGLIK BILIMLERI UNIVERSITESI,Saglik Yonetimi,263.16839
5077,HARRAN UNIVERSITESI,Bahce Bitkileri,263.14592
5078,RECEP TAYYIP ERDOGAN UNIVERSITESI,Fizik,263.14174
5079,AKDENIZ UNIVERSITESI,Su Urunleri Muhendisligi,263.08689
5080,KAHRAMANMARAS SUTCU IMAM UNIVERSITESI,Saglik Yonetimi,263.02088
5081,DUZCE UNIVERSITESI,Sosyal Hizmet,263.01344
5082,NIGDE OMER HALISDEMIR UNIVERSITESI,Saglik Yonetimi,262.92628
5083,MUGLA SITKI KOCMAN UNIVERSITESI,Ekonomi ve Finans,262.81798
5084,TRAKYA UNIVERSITESI,Sanat Tarihi,262.66276
5085,DICLE UNIVERSITESI,Cagdas Turk Lehceleri ve Edebiyatlari,262.63227
5086,NECMETTIN ERBAKAN UNIVERSITESI,Maliye,262.61639
5087,ATATURK UNIVERSITESI,Biyoloji,262.615
5088,ATATURK UNIVERSITESI,Bitki Koruma,262.57603
5089,ADIYAMAN UNIVERSITESI,Sanat Tarihi,262.51369
5090,ANKARA UNIVERSITESI,Sut Teknolojisi,262.46174
5091,BOLU ABANT IZZET BAYSAL UNIVERSITESI,Sosyoloji,262.35496
5092,ORDU UNIVERSITESI,Peyzaj Mimarligi,262.33667
5093,BILECIK SEYH EDEBALI UNIVERSITESI,Biyosistem Muhendisligi,262.30899
5094,NIGDE OMER HALISDEMIR UNIVERSITESI,Fizik,262.30222
5095,EGE UNIVERSITESI,Protohistorya ve On Asya Arkeolojisi,262.30107
5096,AKSARAY UNIVERSITESI,Islami Ilimler,262.28219
5097,CANAKKALE ONSEKIZ MART UNIVERSITESI,Maliye,262.25939
5098,BINGOL UNIVERSITESI,Molekuler Biyoloji ve Genetik,262.1594
5099,NEVSEHIR HACI BEKTAS VELI UNIVERSITESI,Uluslararasi Ticaret ve Lojistik,262.15298
5100,GUMUSHANE UNIVERSITESI,Cografya,262.09241
5101,KIRKLARELI UNIVERSITESI,Tarih,262.05148
5102,DUZCE UNIVERSITESI,Isletme,262.04012
5103,HARRAN UNIVERSITESI,Turizm Rehberligi,262.021
5104,AKSARAY UNIVERSITESI,Acil Yardim ve Afet Yonetimi,261.92804
5105,CANKIRI KARATEKIN UNIVERSITESI,Biyoloji,261.76076
5106,SULEYMAN DEMIREL UNIVERSITESI,Sehir ve Bolge Planlama,261.73301
5107,OSMANIYE KORKUT ATA UNIVERSITESI,Kimya,261.64571
5108,GIRNE UNIVERSITESI,Havacilik Yonetimi,261.61644
5109,BALIKESIR UNIVERSITESI,Iktisat,261.5962
5110,AKDENIZ UNIVERSITESI,Zootekni,261.48115
5111,SAKARYA UNIVERSITESI,Ekonometri,261.44947
5112,INONU UNIVERSITESI,Gerontoloji,261.35868
5113,ULUSLARARASI KIBRIS UNIVERSITESI,"Radyo, Televizyon ve Sinema",261.34155
5114,SIRNAK UNIVERSITESI,Saglik Yonetimi,261.28509
5115,AYDIN ADNAN MENDERES UNIVERSITESI,Toprak Bilimi ve Bitki Besleme,261.27177
5116,KIRKLARELI UNIVERSITESI,Uluslararasi Ticaret ve Lojistik,261.24569
5117,DOKUZ EYLUL UNIVERSITESI,Muzecilik,261.21945
5118,MUGLA SITKI KOCMAN UNIVERSITESI,Su Urunleri Muhendisligi,261.20186
5119,TOKAT GAZIOSMANPASA UNIVERSITESI,Biyoloji,261.18473
5120,KIRIKKALE UNIVERSITESI,Spor Yoneticiligi,261.11708
5121,NECMETTIN ERBAKAN UNIVERSITESI,Isletme,261.08719
5122,MERSIN UNIVERSITESI,Calisma Ekonomisi ve Endustri Iliskileri,260.99358
5123,KIRGIZISTAN-TURKIYE MANAS UNIVERSITESI*,Islam Bilimleri,260.96107
5124,BOLU ABANT IZZET BAYSAL UNIVERSITESI,Bahce Bitkileri,260.86432
5125,YOZGAT BOZOK UNIVERSITESI,Turk Dili ve Edebiyati,260.83834
5126,USAK UNIVERSITESI,Spor Yoneticiligi,260.77209
5127,HATAY MUSTAFA KEMAL UNIVERSITESI,Sanat Tarihi,260.73609
5128,CANAKKALE ONSEKIZ MART UNIVERSITESI,Felsefe,260.73529
5129,KAYSERI UNIVERSITESI,Muhasebe ve Finans Yonetimi,260.72887
5130,KARABUK UNIVERSITESI,Sosyal Hizmet,260.49248
5131,SULEYMAN DEMIREL UNIVERSITESI,Iktisat,260.48286
5132,USAK UNIVERSITESI,Saglik Yonetimi,260.44658
5133,SIVAS CUMHURIYET UNIVERSITESI,Siyaset Bilimi ve Kamu Yonetimi,260.41698
5134,DUZCE UNIVERSITESI,Agac Isleri Endustri Muhendisligi,260.40794
5135,ATATURK UNIVERSITESI,Sosyoloji,260.40747
5136,LEFKE AVRUPA UNIVERSITESI,Gorsel Iletisim Tasarimi,260.38124
5137,FIRAT UNIVERSITESI,Fizik,260.37391
5138,IZMIR DEMOKRASI UNIVERSITESI,Arkeoloji,260.35148
5139,MANISA CELÂL BAYAR UNIVERSITESI,Calisma Ekonomisi ve Endustri Iliskileri,260.26168
5140,TRAKYA UNIVERSITESI,Iktisat,260.201
5141,DICLE UNIVERSITESI,Ilahiyat,260.13495
5142,TRAKYA UNIVERSITESI,Gumruk Isletme,260.12564
5143,TEKIRDAG NAMIK KEMAL UNIVERSITESI,Bahce Bitkileri,260.12206
5144,ATATURK UNIVERSITESI,Uluslararasi Ticaret ve Lojistik,260.03701
5145,ESKISEHIR OSMANGAZI UNIVERSITESI,Tip,260.0
5146,KOCAELI UNIVERSITESI,Tip,260.0
5147,SULEYMAN DEMIREL UNIVERSITESI,Sosyoloji,259.94894
5148,MUGLA SITKI KOCMAN UNIVERSITESI,Calisma Ekonomisi ve Endustri Iliskileri,259.94595
5149,CANAKKALE ONSEKIZ MART UNIVERSITESI,Kamu Yonetimi,259.92776
5150,HARRAN UNIVERSITESI,Rekreasyon Yonetimi,259.92553
5151,DICLE UNIVERSITESI,Tarim Makineleri ve Teknolojileri Muhendisligi,259.8799
5152,YAKIN DOGU UNIVERSITESI,Peyzaj Mimarligi,259.86281
5153,MALATYA TURGUT OZAL UNIVERSITESI,Bitki Koruma,259.81955
5154,ADIYAMAN UNIVERSITESI,Bitki Koruma,259.78784
5155,YOZGAT BOZOK UNIVERSITESI,Bitki Koruma,259.74133
5156,GUMUSHANE UNIVERSITESI,Turizm Rehberligi,259.70955
5157,ARKIN YARATICI SANATLAR VE TASARIM UNIVERSITESI,Dijital Oyun Tasarimi,259.69178
5158,NIGDE OMER HALISDEMIR UNIVERSITESI,Biyoteknoloji,259.55926
5159,ERZINCAN BINALI YILDIRIM UNIVERSITESI,Biyoloji,259.55304
5160,KIRKLARELI UNIVERSITESI,Peyzaj Mimarligi,259.50083
5161,MUGLA SITKI KOCMAN UNIVERSITESI,Muhasebe ve Finans Yonetimi,259.47914
5162,AGRI IBRAHIM CECEN UNIVERSITESI,Turk Dili ve Edebiyati,259.42937
5163,INONU UNIVERSITESI,Siyaset Bilimi ve Kamu Yonetimi,259.39313
5164,TRAKYA UNIVERSITESI,Maliye,259.34122
5165,KAHRAMANMARAS SUTCU IMAM UNIVERSITESI,Spor Yoneticiligi,259.31674
5166,ANKARA UNIVERSITESI,Yunan Dili ve Edebiyati,259.30777
5167,USAK UNIVERSITESI,Tekstil ve Moda Tasarimi,259.28824
5168,SINOP UNIVERSITESI,Tarih,259.27416
5169,AYDIN ADNAN MENDERES UNIVERSITESI,Insan Kaynaklari Yonetimi,259.23484
5170,ONDOKUZ MAYIS UNIVERSITESI,Turizm Isletmeciligi,259.22994
5171,AFYON KOCATEPE UNIVERSITESI,Siyaset Bilimi ve Kamu Yonetimi,259.22626
5172,FIRAT UNIVERSITESI,Siyaset Bilimi ve Kamu Yonetimi,259.15727
5173,DOGU AKDENIZ UNIVERSITESI,Iktisat,259.13986
5174,ISKENDERUN TEKNIK UNIVERSITESI,Denizcilik Isletmeleri Yonetimi,259.12886
5175,TARSUS UNIVERSITESI,Siyaset Bilimi ve Kamu Yonetimi,259.12314
5176,NECMETTIN ERBAKAN UNIVERSITESI,Sosyoloji,259.0937
5177,ARTVIN CORUH UNIVERSITESI,Rus Dili ve Edebiyati,259.05372
5178,KAHRAMANMARAS SUTCU IMAM UNIVERSITESI,Orman Endustrisi Muhendisligi,258.9585
5179,VAN YUZUNCU YIL UNIVERSITESI,Ilahiyat,258.95568
5180,USAK UNIVERSITESI,Halkla Iliskiler ve Reklamcilik,258.91879
5181,NEVSEHIR HACI BEKTAS VELI UNIVERSITESI,Peyzaj Mimarligi,258.87981
5182,BOLU ABANT IZZET BAYSAL UNIVERSITESI,Kamu Yonetimi,258.83644
5183,AKSARAY UNIVERSITESI,Saglik Yonetimi,258.82998
5184,DUZCE UNIVERSITESI,Uluslararasi Ticaret ve Finansman,258.7893
5185,KIRIKKALE UNIVERSITESI,Aktuerya Bilimleri,258.70064
5186,IGDIR UNIVERSITESI,Tarim Ekonomisi,258.63853
5187,SULEYMAN DEMIREL UNIVERSITESI,Ilahiyat,258.59167
5188,BURDUR MEHMET AKIF ERSOY UNIVERSITESI,Acil Yardim ve Afet Yonetimi,258.59113
5189,CUKUROVA UNIVERSITESI,Su Urunleri Muhendisligi,258.49179
5190,YAKIN DOGU UNIVERSITESI,Odyoloji,258.44476
5191,KOCAELI UNIVERSITESI,Bahce Bitkileri,258.44145
5192,ULUSLARARASI KIBRIS UNIVERSITESI,Uluslararasi Iliskiler,258.41377
5193,ZONGULDAK BULENT ECEVIT UNIVERSITESI,Denizcilik Isletmeleri Yonetimi,258.41098
5194,EGE UNIVERSITESI,Sut Teknolojisi,258.3843
5195,GIRNE AMERIKAN UNIVERSITESI,Isletme,258.37789
5196,NECMETTIN ERBAKAN UNIVERSITESI,Tarla Bitkileri,258.36253
5197,HATAY MUSTAFA KEMAL UNIVERSITESI,Gazetecilik,258.30408
5198,ALANYA ALAADDIN KEYKUBAT UNIVERSITESI,Insan Kaynaklari Yonetimi,258.27045
5199,AYDIN ADNAN MENDERES UNIVERSITESI,Tarimsal Biyoteknoloji,258.19964
5200,IGDIR UNIVERSITESI,Antrenorluk Egitimi,258.19649
5201,DOKUZ EYLUL UNIVERSITESI,Almanca Ogretmenligi,258.18804
5202,KARABUK UNIVERSITESI,"Radyo, Televizyon ve Sinema",258.17615
5203,YALOVA UNIVERSITESI,Calisma Ekonomisi ve Endustri Iliskileri,257.93564
5204,CANAKKALE ONSEKIZ MART UNIVERSITESI,Toprak Bilimi ve Bitki Besleme,257.92727
5205,ISPARTA UYGULAMALI BILIMLER UNIVERSITESI,Tarimsal Biyoteknoloji,257.88069
5206,SAKARYA UYGULAMALI BILIMLER UNIVERSITESI,Turizm Isletmeciligi,257.87682
5207,ATATURK UNIVERSITESI,Peyzaj Mimarligi,257.82619
5208,TEKIRDAG NAMIK KEMAL UNIVERSITESI,Calisma Ekonomisi ve Endustri Iliskileri,257.71837
5209,ONDOKUZ MAYIS UNIVERSITESI,Toprak Bilimi ve Bitki Besleme,257.7023
5210,NECMETTIN ERBAKAN UNIVERSITESI,Biyosistem Muhendisligi,257.68605
5211,YAKIN DOGU UNIVERSITESI,Ergoterapi,257.66554
5212,NIGDE OMER HALISDEMIR UNIVERSITESI,Uluslararasi Ticaret ve Lojistik,257.6367
5213,USAK UNIVERSITESI,"Radyo, Televizyon ve Sinema",257.60701
5214,BANDIRMA ONYEDI EYLUL UNIVERSITESI,Maliye,257.53012
5215,INONU UNIVERSITESI,Peyzaj Mimarligi,257.47179
5216,ADIYAMAN UNIVERSITESI,Turizm Rehberligi,257.44643
5217,SULEYMAN DEMIREL UNIVERSITESI,Turizm Isletmeciligi,257.43853
5218,DICLE UNIVERSITESI,Iktisat,257.42888
5219,TRAKYA UNIVERSITESI,Finans ve Bankacilik,257.40397
5220,ARKIN YARATICI SANATLAR VE TASARIM UNIVERSITESI,Ic Mimarlik ve Cevre Tasarimi,257.34032
5221,KIRSEHIR AHI EVRAN UNIVERSITESI,Tarih,257.19496
5222,BOLU ABANT IZZET BAYSAL UNIVERSITESI,Tarla Bitkileri,257.12963
5223,TRABZON UNIVERSITESI,Siyaset Bilimi ve Kamu Yonetimi,257.10453
5224,USAK UNIVERSITESI,Tarla Bitkileri,257.08592
5225,MANISA CELÂL BAYAR UNIVERSITESI,Ekonomi ve Finans,257.04986
5226,ONDOKUZ MAYIS UNIVERSITESI,Tarimsal Biyoteknoloji,256.99815
5227,HARRAN UNIVERSITESI,Isletme,256.95395
5228,ONDOKUZ MAYIS UNIVERSITESI,Felsefe,256.94316
5229,BATMAN UNIVERSITESI,Tarih,256.93954
5230,BINGOL UNIVERSITESI,Turk Dili ve Edebiyati,256.91892
5231,PAMUKKALE UNIVERSITESI,Bahce Bitkileri,256.8651
5232,ORDU UNIVERSITESI,Bahce Bitkileri,256.80394
5233,AKSARAY UNIVERSITESI,Tarih,256.78698
5234,NECMETTIN ERBAKAN UNIVERSITESI,Finans ve Bankacilik,256.76727
5235,ERCIYES UNIVERSITESI,Sanat Tarihi,256.7352
5236,KIRKLARELI UNIVERSITESI,Sosyal Hizmet,256.70171
5237,RECEP TAYYIP ERDOGAN UNIVERSITESI,Siyaset Bilimi ve Kamu Yonetimi,256.63327
5238,SIIRT UNIVERSITESI,Bitki Koruma,256.60048
5239,NIGDE OMER HALISDEMIR UNIVERSITESI,Tarih,256.56214
5240,NIGDE OMER HALISDEMIR UNIVERSITESI,Biyosistem Muhendisligi,256.52011
5241,BURDUR MEHMET AKIF ERSOY UNIVERSITESI,Spor Yoneticiligi,256.5172
5242,BURDUR MEHMET AKIF ERSOY UNIVERSITESI,Peyzaj Mimarligi,256.50584
5243,ERCIYES UNIVERSITESI,Sehir ve Bolge Planlama,256.47028
5244,BARTIN UNIVERSITESI,Peyzaj Mimarligi,256.40907
5245,CUKUROVA UNIVERSITESI,Zootekni,256.40399
5246,BURDUR MEHMET AKIF ERSOY UNIVERSITESI,Saglik Yonetimi,256.37065
5247,KILIS 7 ARALIK UNIVERSITESI,Molekuler Biyoloji ve Genetik,256.34636
5248,ORDU UNIVERSITESI,Siyaset Bilimi ve Kamu Yonetimi,256.30661
5249,TOKAT GAZIOSMANPASA UNIVERSITESI,Acil Yardim ve Afet Yonetimi,256.2136
5250,MUS ALPARSLAN UNIVERSITESI,Molekuler Biyoloji ve Genetik,256.12837
5251,ORDU UNIVERSITESI,Sosyoloji,256.07639
5252,VAN YUZUNCU YIL UNIVERSITESI,Bahce Bitkileri,256.04103
5253,DICLE UNIVERSITESI,Zootekni,255.9704
5254,ERZINCAN BINALI YILDIRIM UNIVERSITESI,Ilahiyat,255.95347
5255,PAMUKKALE UNIVERSITESI,Tarla Bitkileri,255.91674
5256,KAHRAMANMARAS SUTCU IMAM UNIVERSITESI,Biyoloji,255.88393
5257,ZONGULDAK BULENT ECEVIT UNIVERSITESI,Sosyoloji,255.72895
5258,ATATURK UNIVERSITESI,Arap Dili ve Edebiyati,255.72367
5259,RECEP TAYYIP ERDOGAN UNIVERSITESI,Peyzaj Mimarligi,255.70195
5260,BARTIN UNIVERSITESI,Spor Yoneticiligi,255.68847
5261,SAKARYA UYGULAMALI BILIMLER UNIVERSITESI,Bahce Bitkileri,255.59694
5262,TRAKYA UNIVERSITESI,Acil Yardim ve Afet Yonetimi,255.51895
5263,BILECIK SEYH EDEBALI UNIVERSITESI,Saglik Yonetimi,255.478
5264,FIRAT UNIVERSITESI,Ilahiyat,255.40802
5265,ATATURK UNIVERSITESI,Fotograf,255.36423
5266,KIRKLARELI UNIVERSITESI,Saglik Yonetimi,255.36228
5267,ERZURUM TEKNIK UNIVERSITESI,Tarih,255.31928
5268,INONU UNIVERSITESI,Isletme,255.27307
5269,PAMUKKALE UNIVERSITESI,Calisma Ekonomisi ve Endustri Iliskileri,255.26263
5270,KUTAHYA DUMLUPINAR UNIVERSITESI,Ilahiyat,255.25964
5271,KONYA TEKNIK UNIVERSITESI,Sehir ve Bolge Planlama,255.24782
5272,AGRI IBRAHIM CECEN UNIVERSITESI,Molekuler Biyoloji ve Genetik,255.2268
5273,MUS ALPARSLAN UNIVERSITESI,Sosyal Hizmet,255.20986
5274,HATAY MUSTAFA KEMAL UNIVERSITESI,Siyaset Bilimi ve Kamu Yonetimi,255.1537
5275,CANAKKALE ONSEKIZ MART UNIVERSITESI,Is Sagligi ve Guvenligi,255.1515
5276,KAHRAMANMARAS SUTCU IMAM UNIVERSITESI,Tarih,255.05707
5277,BARTIN UNIVERSITESI,Tarih,255.03153
5278,BOLU ABANT IZZET BAYSAL UNIVERSITESI,Iktisat,255.00765
5279,SELCUK UNIVERSITESI,Tarimsal Yapilar ve Sulama,254.95221
5280,HITIT UNIVERSITESI,Saglik Yonetimi,254.94968
5281,KIRIKKALE UNIVERSITESI,Uluslararasi Iliskiler,254.91411
5282,BANDIRMA ONYEDI EYLUL UNIVERSITESI,Calisma Ekonomisi ve Endustri Iliskileri,254.90018
5283,BATMAN UNIVERSITESI,Turizm Rehberligi,254.79359
5284,ORDU UNIVERSITESI,Isletme,254.79314
5285,ONDOKUZ MAYIS UNIVERSITESI,Zootekni,254.76056
5286,AYDIN ADNAN MENDERES UNIVERSITESI,Ekonomi,254.72883
5287,INONU UNIVERSITESI,Halkla Iliskiler ve Tanitim,254.72391
5288,GUMUSHANE UNIVERSITESI,Turk Dili ve Edebiyati,254.6805
5289,FIRAT UNIVERSITESI,"Radyo, Televizyon ve Sinema",254.67085
5290,KIRIKKALE UNIVERSITESI,Sosyoloji,254.65483
5291,TRABZON UNIVERSITESI,Acil Yardim ve Afet Yonetimi,254.56972
5292,KAPADOKYA UNIVERSITESI,Sehir ve Bolge Planlama,254.47959
5293,ADIYAMAN UNIVERSITESI,Sosyoloji,254.46638
5294,CANAKKALE ONSEKIZ MART UNIVERSITESI,Su Urunleri Muhendisligi,254.43901
5295,AYDIN ADNAN MENDERES UNIVERSITESI,Kamu Yonetimi,254.37864
5296,TRAKYA UNIVERSITESI,Ilahiyat,254.338
5297,ERCIYES UNIVERSITESI,Zootekni,254.33581
5298,KAFKAS UNIVERSITESI,Molekuler Biyoloji ve Genetik,254.32141
5299,MARDIN ARTUKLU UNIVERSITESI,Arkeoloji,254.27353
5300,BINGOL UNIVERSITESI,Saglik Yonetimi,254.18639
5301,SINOP UNIVERSITESI,Saglik Yonetimi,254.1221
5302,MARDIN ARTUKLU UNIVERSITESI,Suryani Dili ve Edebiyati,254.05786
5303,BOLU ABANT IZZET BAYSAL UNIVERSITESI,Turizm Isletmeciligi,254.05366
5304,MALATYA TURGUT OZAL UNIVERSITESI,Tarih,254.03697
5305,MARDIN ARTUKLU UNIVERSITESI,Isletme,254.02187
5306,VAN YUZUNCU YIL UNIVERSITESI,Peyzaj Mimarligi,254.01699
5307,ERCIYES UNIVERSITESI,Toprak Bilimi ve Bitki Besleme,253.99117
5308,PAMUKKALE UNIVERSITESI,Cagdas Turk Lehceleri ve Edebiyatlari,253.96899
5309,TEKIRDAG NAMIK KEMAL UNIVERSITESI,Toprak Bilimi ve Bitki Besleme,253.87617
5310,KIRKLARELI UNIVERSITESI,Isletme,253.8402
5311,SAKARYA UNIVERSITESI,Felsefe,253.78581
5312,PAMUKKALE UNIVERSITESI,Ekonometri,253.76472
5313,MERSIN UNIVERSITESI,Arkeoloji,253.6873
5314,SAKARYA UYGULAMALI BILIMLER UNIVERSITESI,Tarla Bitkileri,253.64885
5315,IGDIR UNIVERSITESI,Cografya,253.54722
5316,ERCIYES UNIVERSITESI,Tarimsal Biyoteknoloji,253.52075
5317,NIGDE OMER HALISDEMIR UNIVERSITESI,Spor Yoneticiligi,253.47305
5318,NECMETTIN ERBAKAN UNIVERSITESI,Muhasebe ve Finans Yonetimi,253.46314
5319,TOKAT GAZIOSMANPASA UNIVERSITESI,Bahce Bitkileri,253.45207
5320,KILIS 7 ARALIK UNIVERSITESI,Saglik Yonetimi,253.44686
5321,BILECIK SEYH EDEBALI UNIVERSITESI,Sosyal Hizmet,253.43466
5322,TOKAT GAZIOSMANPASA UNIVERSITESI,Tarih,253.42714
5323,BINGOL UNIVERSITESI,Bitki Koruma,253.38841
5324,MERSIN UNIVERSITESI,Felsefe,253.32896
5325,DOGU AKDENIZ UNIVERSITESI,Egzersiz ve Spor Bilimleri,253.27572
5326,VAN YUZUNCU YIL UNIVERSITESI,Isletme,253.26146
5327,SULEYMAN DEMIREL UNIVERSITESI,Insan Kaynaklari Yonetimi,253.24016
5328,ERZINCAN BINALI YILDIRIM UNIVERSITESI,Sosyal Hizmet,253.12764
5329,DOGU AKDENIZ UNIVERSITESI,Muhasebe ve Finans Yonetimi,253.08094
5330,NEVSEHIR HACI BEKTAS VELI UNIVERSITESI,Isletme,252.98629
5331,TRAKYA UNIVERSITESI,Turizm Isletmeciligi,252.97983
5332,ERZURUM TEKNIK UNIVERSITESI,Acil Yardim ve Afet Yonetimi,252.94901
5333,ZONGULDAK BULENT ECEVIT UNIVERSITESI,Uluslararasi Ticaret ve Isletmecilik,252.81591
5334,MUNZUR UNIVERSITESI,Turk Dili ve Edebiyati,252.75076
5335,KARADENIZ TEKNIK UNIVERSITESI,Arkeoloji,252.73358
5336,AMASYA UNIVERSITESI,Kentsel Tasarim ve Peyzaj Mimarligi,252.7313
5337,KARAMANOGLU MEHMETBEY UNIVERSITESI,Saglik Yonetimi,252.7295
5338,FIRAT UNIVERSITESI,Sanat Tarihi,252.68881
5339,TEKIRDAG NAMIK KEMAL UNIVERSITESI,Tarimsal Biyoteknoloji,252.6317
5340,OSMANIYE KORKUT ATA UNIVERSITESI,Biyoloji,252.55864
5341,DOGU AKDENIZ UNIVERSITESI,Turizm Isletmeciligi,252.55708
5342,FIRAT UNIVERSITESI,Sosyoloji,252.53964
5343,AYDIN ADNAN MENDERES UNIVERSITESI,Ekonometri,252.49169
5344,KARABUK UNIVERSITESI,Tarih,252.49053
5345,DUZCE UNIVERSITESI,Tarla Bitkileri,252.46374
5346,CANKIRI KARATEKIN UNIVERSITESI,Saglik Yonetimi,252.45209
5347,BAYBURT UNIVERSITESI,Ilahiyat,252.44034
5348,TRAKYA UNIVERSITESI,Uluslararasi Ticaret ve Finansman,252.37162
5349,MUGLA SITKI KOCMAN UNIVERSITESI,Felsefe,252.23226
5350,USAK UNIVERSITESI,Isletme,252.21752
5351,ATATURK UNIVERSITESI,Isletme,252.21452
5352,KASTAMONU UNIVERSITESI,Peyzaj Mimarligi,252.15699
5353,ZONGULDAK BULENT ECEVIT UNIVERSITESI,Siyaset Bilimi ve Kamu Yonetimi,252.06821
5354,CANAKKALE ONSEKIZ MART UNIVERSITESI,Arkeoloji,252.05185
5355,BITLIS EREN UNIVERSITESI,Turk Dili ve Edebiyati,252.04028
5356,SELCUK UNIVERSITESI,Zootekni,252.0027
5357,BURDUR MEHMET AKIF ERSOY UNIVERSITESI,Halkla Iliskiler ve Tanitim,251.98348
5358,MANISA CELÂL BAYAR UNIVERSITESI,Tutun Eksperligi,251.8983
5359,MALATYA TURGUT OZAL UNIVERSITESI,Yeni Medya ve Iletisim,251.8482
5360,SIVAS CUMHURIYET UNIVERSITESI,Ilahiyat,251.80287
5361,PAMUKKALE UNIVERSITESI,Arkeoloji,251.79393
5362,TRABZON UNIVERSITESI,Sosyoloji,251.77319
5363,HATAY MUSTAFA KEMAL UNIVERSITESI,Bahce Bitkileri,251.76756
5364,KARAMANOGLU MEHMETBEY UNIVERSITESI,Tarih,251.75025
5365,MUGLA SITKI KOCMAN UNIVERSITESI,Arkeoloji,251.66808
5366,ADIYAMAN UNIVERSITESI,Siyaset Bilimi ve Kamu Yonetimi,251.61177
5367,TOKAT GAZIOSMANPASA UNIVERSITESI,Biyosistem Muhendisligi,251.58075
5368,NIGDE OMER HALISDEMIR UNIVERSITESI,"Radyo, Televizyon ve Sinema",251.49172
5369,TEKIRDAG NAMIK KEMAL UNIVERSITESI,Arkeoloji,251.46862
5370,SELCUK UNIVERSITESI,Turizm Isletmeciligi,251.46048
5371,KAHRAMANMARAS SUTCU IMAM UNIVERSITESI,Peyzaj Mimarligi,251.41219
5372,HARRAN UNIVERSITESI,Toprak Bilimi ve Bitki Besleme,251.37955
5373,DUZCE UNIVERSITESI,Tiyatro Elestirmenligi ve Dramaturji,251.37416
5374,ISKENDERUN TEKNIK UNIVERSITESI,Peyzaj Mimarligi,251.287
5375,KASTAMONU UNIVERSITESI,Tarih,251.28399
5376,CANAKKALE ONSEKIZ MART UNIVERSITESI,Calisma Ekonomisi ve Endustri Iliskileri,251.24888
5377,VAN YUZUNCU YIL UNIVERSITESI,Tarla Bitkileri,251.21722
5378,DOGU AKDENIZ UNIVERSITESI,Uluslararasi Finans ve Bankacilik,251.21389
5379,AYDIN ADNAN MENDERES UNIVERSITESI,Zootekni,251.1768
5380,KIRIKKALE UNIVERSITESI,Isletme,251.14521
5381,KASTAMONU UNIVERSITESI,Uluslararasi Ticaret ve Lojistik,251.13465
5382,BILECIK SEYH EDEBALI UNIVERSITESI,Isletme,251.12179
5383,AFYON KOCATEPE UNIVERSITESI,Sosyoloji,251.09824
5384,ERZINCAN BINALI YILDIRIM UNIVERSITESI,Tarih,251.06981
5385,SIVAS CUMHURIYET UNIVERSITESI,Halkla Iliskiler ve Tanitim,251.03361
5386,KIRGIZISTAN-TURKIYE MANAS UNIVERSITESI*,Dogu Dilleri,251.0
5387,KIRGIZISTAN-TURKIYE MANAS UNIVERSITESI*,Gazetecilik,251.0
5388,KIRGIZISTAN-TURKIYE MANAS UNIVERSITESI*,Bitki Koruma,251.0
5389,KIRGIZISTAN-TURKIYE MANAS UNIVERSITESI*,"Radyo, Televizyon ve Sinema",251.0
5390,KIRGIZISTAN-TURKIYE MANAS UNIVERSITESI*,Halkla Iliskiler ve Reklamcilik,251.0
5391,KIRGIZISTAN-TURKIYE MANAS UNIVERSITESI*,Bati Dilleri,251.0
5392,KIRGIZISTAN-TURKIYE MANAS UNIVERSITESI*,Veteriner,251.0
5393,KIRGIZISTAN-TURKIYE MANAS UNIVERSITESI*,Uluslararasi Iliskiler,251.0
5394,KIRGIZISTAN-TURKIYE MANAS UNIVERSITESI*,Isletme,251.0
5395,KIRGIZISTAN-TURKIYE MANAS UNIVERSITESI*,Iktisat,251.0
5396,KIRGIZISTAN-TURKIYE MANAS UNIVERSITESI*,Finans ve Bankacilik,251.0
5397,KIRGIZISTAN-TURKIYE MANAS UNIVERSITESI*,Matematik,251.0
5398,KIRGIZISTAN-TURKIYE MANAS UNIVERSITESI*,Turkoloji,251.0
5399,KIRGIZISTAN-TURKIYE MANAS UNIVERSITESI*,Turizm ve Otel Isletmeciligi,251.0
5400,KIRGIZISTAN-TURKIYE MANAS UNIVERSITESI*,Sosyoloji,251.0
5401,KIRGIZISTAN-TURKIYE MANAS UNIVERSITESI*,Tarih,251.0
5402,KIRGIZISTAN-TURKIYE MANAS UNIVERSITESI*,Mutercim-Tercumanlik,251.0
5403,KIRGIZISTAN-TURKIYE MANAS UNIVERSITESI*,Gastronomi ve Mutfak Sanatlari,251.0
5404,KIRGIZISTAN-TURKIYE MANAS UNIVERSITESI*,Felsefe,251.0
5405,NIGDE OMER HALISDEMIR UNIVERSITESI,Bitkisel Uretim ve Teknolojileri,250.91254
5406,BILECIK SEYH EDEBALI UNIVERSITESI,Islami Ilimler,250.91077
5407,BINGOL UNIVERSITESI,Arap Dili ve Edebiyati,250.8945
5408,ARTVIN CORUH UNIVERSITESI,Ilahiyat,250.73606
